ID,Keyword,Service,Ort,Transaktions_Score,Prioritaet,Kategorie,URL_Pfad
37,Haushaltsauflösung Erlangen,Haushaltsauflösung,Erlangen,4,Hoch,Umkreis 100km,haushaltsaufloesung-erlangen
38,Entrümpelung Erlangen Preis,Entrümpelung,Erlangen,3,Mittel,Umkreis 100km,entruempelung-erlangen-preis
39,Entrümpelung Schwabach,Entrümpelung,Schwabach,4,Hoch,Umkreis 100km,entruempelung-schwabach
40,Haushaltsauflösung Schwabach,Haushaltsauflösung,Schwabach,3,Mittel,Umkreis 100km,haushaltsaufloesung-schwabach
41,Entrümpelung Schwabach günstig,Entrümpelung,Schwabach,3,Mittel,Umkreis 100km,entruempelung-schwabach-guenstig
42,Entrümpelung Ansbach,Entrümpelung,Ansbach,3,Mittel,Umkreis 100km,entruempelung-ansbach
43,Haushaltsauflösung Ansbach,Haushaltsauflösung,Ansbach,3,Mittel,Umkreis 100km,haushaltsaufloesung-ansbach
44,Entrümpelung Ansbach Preis,Entrümpelung,Ansbach,2,Niedrig-Mittel,Umkreis 100km,entruempelung-ansbach-preis
45,Entrümpelung Nürnberg kostenlos Abholung,Entrümpelung,Nürnberg,5,Höchste,Premium,entruempelung-nuernberg-kostenlos-abholung
46,Haushaltsauflösung Nürnberg mit Wertanrechnung,Haushaltsauflösung,Nürnberg,5,Höchste,Premium,haushaltsaufloesung-nuernberg-wertanrechnung
47,Entrümpelung Nürnberg Angebot,Entrümpelung,Nürnberg,4,Hoch,Premium,entruempelung-nuernberg-angebot
48,Entrümpelung Nürnberg Preise,Entrümpelung,Nürnberg,4,Hoch,Premium,entruempelung-nuernberg-preise
49,Entrümpelung Nürnberg sofort,Entrümpelung,Nürnberg,4,Hoch,Premium,entruempelung-nuernberg-sofort
50,Entrümpelung Nürnberg Termin,Entrümpelung,Nürnberg,4,Hoch,Premium,entruempelung-nuernberg-termin

